INTERSECTION,FIRST APPROACH,SECOND APPROACH,THIRD APPROACH,GO LIVE DATE,LATITUDE,LONGITUDE,LOCATION
Damen-Fullerton,EB,,,02/17/2006,41.92499,-87.6779,"(41.92499, -87.6779)"
Narragansett-Irving Park,EB,WB,,10/13/2004,41.95291,-87.78655,"(41.95291, -87.78655)"
Western-Madison,NB,WB,,05/31/2004,41.88116,-87.68643,"(41.88116, -87.68643)"
Cicero-Peterson,SB,WB,,08/25/2008,41.98989,-87.74832,"(41.98989, -87.74832)"
California-Diversey,NB,WB,EB,01/30/2006,41.93209,-87.69761,"(41.93209, -87.69761)"
Western-Devon,NB,SB,,07/30/2008,41.99773,-87.68988,"(41.99773, -87.68988)"
Pulaski-Foster,SB,WB,,10/17/2007,41.97553,-87.72823,"(41.97553, -87.72823)"
Cicero-Chicago,NB,EB,,10/04/2007,41.895,-87.7458,"(41.895, -87.7458)"
Western-Lawrence,SB,EB,,07/30/2008,41.96861,-87.6889,"(41.96861, -87.6889)"
Western-47th,SB,NB,,11/28/2004,41.80842,-87.68442,"(41.80842, -87.68442)"
Broadway-Foster,NB,EB,,10/17/2007,41.97632,-87.65986,"(41.97632, -87.65986)"
Northwest Hwy-Foster,SB,EB,,07/09/2017,41.9757,-87.7693,"(41.9757, -87.7693)"
Lafayette-87th,SB,EB,,08/30/2009,41.73627,-87.62544,"(41.73627, -87.62544)"
Vincennes-87th,SB,EB,,11/10/2004,41.73605,-87.64517,"(41.73605, -87.64517)"
State-63rd,SB,WB,,01/17/2006,41.78005,-87.62537,"(41.78005, -87.62537)"
Halsted-95th,NB,SB,,04/29/2008,41.72145,-87.64321,"(41.72145, -87.64321)"
Milwaukee-Devon,SB,WB,,02/27/2009,41.9974,-87.7879,"(41.9974, -87.7879)"
Pulaski-Irving Park,SB,WB,,05/18/2009,41.95364,-87.72761,"(41.95364, -87.72761)"
State-79th,WB,NB,,06/25/2009,41.75095,-87.62454,"(41.75095, -87.62454)"
Hamlin-Madison,NB,EB,,04/28/2009,41.88078,-87.72075,"(41.88078, -87.72075)"
Cottage Grove-71st-South Chicago,NB,SB,,04/29/2008,41.76586,-87.60558,"(41.76586, -87.60558)"
Damen-Diversey-Clybourn,SB,WB,,06/29/2008,41.93228,-87.67813,"(41.93228, -87.67813)"
Cicero-Addison,NB,SB,,11/29/2008,41.94612,-87.74706,"(41.94612, -87.74706)"
Pulaski-Roosevelt,NB,WB,,07/16/2009,41.86617,-87.72516,"(41.86617, -87.72516)"
Clark-Ridge,NB,SB,,07/22/2008,41.98969,-87.66998,"(41.98969, -87.66998)"
Damen-Division,EB,WB,,12/28/2009,41.90319,-87.67725,"(41.90319, -87.67725)"
Western-North,NB,EB,,11/25/2007,41.91032,-87.68722,"(41.91032, -87.68722)"
Wentworth-Garfield,NB,WB,,05/07/2008,41.79419,-87.6305,"(41.79419, -87.6305)"
Western-Peterson,SB,WB,,02/25/2004,41.9905,-87.6897,"(41.9905, -87.6897)"
Pulaski-Chicago,SB,EB,,02/19/2010,41.89536,-87.72607,"(41.89536, -87.72607)"
Halsted-Division,NB,WB,,04/06/2004,41.90363,-87.64809,"(41.90363, -87.64809)"
Pulaski-Diversey,SB,NB,,05/14/2009,41.93179,-87.72697,"(41.93179, -87.72697)"
Western-Cermak,SB,EB,,12/28/2009,41.85203,-87.68563,"(41.85203, -87.68563)"
Laramie-Madison,EB,WB,,05/10/2011,41.88037,-87.75506,"(41.88037, -87.75506)"
Central-Chicago,SB,EB,,05/27/2010,41.89485,-87.76539,"(41.89485, -87.76539)"
Kedzie-Belmont,SB,EB,NB,02/29/2004,41.9393,-87.7077,"(41.9393, -87.7077)"
Halsted-119th,SB,WB,,11/01/2004,41.67781,-87.6419,"(41.67781, -87.6419)"
Homan-Kimball-North,NB,EB,,10/04/2007,41.91005,-87.71187,"(41.91005, -87.71187)"
Cicero-Fullerton,SB,WB,,02/24/2006,41.92423,-87.7463,"(41.92423, -87.7463)"
Clark-Chicago,EB,WB,,10/21/2010,41.89663,-87.63124,"(41.89663, -87.63124)"
Pulaski-Cermak,SB,WB,,10/10/2004,41.85154,-87.72475,"(41.85154, -87.72475)"
Cicero-Stevenson NB (SOUTH INTERSECTION),NB,SB,,04/28/2009,41.81709,-87.74347,"(41.81709, -87.74347)"
Western-35th,SB,NB,,10/10/2004,41.83028,-87.68503,"(41.83028, -87.68503)"
Kedzie-47th,NB,WB,,03/29/2008,41.80811,-87.70397,"(41.80811, -87.70397)"
Hamlin-Lake,NB,SB,,05/30/2008,41.8852,-87.72091,"(41.8852, -87.72091)"
Pulaski-Archer-50th,EB,WB,,10/30/2007,41.80231,-87.72342,"(41.80231, -87.72342)"
Kedzie-63rd,NB,WB,,11/25/2007,41.77897,-87.70313,"(41.77897, -87.70313)"
Western-Fullerton,NB,SB,,06/28/2009,41.9249,-87.68764,"(41.9249, -87.68764)"
Western-Addison,NB,EB,,06/07/2009,41.94673,-87.68825,"(41.94673, -87.68825)"
Kedzie-55th,SB,EB,,10/19/2009,41.79351,-87.70355,"(41.79351, -87.70355)"
Cicero-Diversey,NB,WB,,02/10/2010,41.93153,-87.74659,"(41.93153, -87.74659)"
Ashland-Fullerton,NB,SB,,06/07/2009,41.92515,-87.66814,"(41.92515, -87.66814)"
Laramie-Fullerton,WB,NB,,06/27/2008,41.9241,-87.75614,"(41.9241, -87.75614)"
Milwaukee-Montrose,SB,WB,,03/10/2010,41.9606,-87.7545,"(41.9606, -87.7545)"
Cicero-Armitage,EB,NB,,11/13/2008,41.91693,-87.74611,"(41.91693, -87.74611)"
Western-Touhy,SB,NB,,10/20/2008,42.01227,-87.69024,"(42.01227, -87.69024)"
Ashland-Division,NB,EB,,10/24/2007,41.90334,-87.66749,"(41.90334, -87.66749)"
Jeffery-95th,SB,EB,,11/25/2007,41.72246,-87.57535,"(41.72246, -87.57535)"
Western-Marquette,SB,WB,,11/29/2008,41.77197,-87.68344,"(41.77197, -87.68344)"
Central-Milwaukee,SB,SEB,,01/24/2018,41.9765,-87.7685,"(41.9765, -87.7685)"
Narragansett-Fullerton,EB,WB,,11/13/2008,41.92367,-87.78544,"(41.92367, -87.78544)"
Elston-Addison,SB,EB,,10/18/2007,41.94662,-87.70884,"(41.94662, -87.70884)"
Halsted-111th,SB,WB,,12/31/2005,41.69235,-87.64237,"(41.69235, -87.64237)"
Harlem-Addison,NB,EB,,06/20/2009,41.94526,-87.807,"(41.94526, -87.807)"
Halsted-Roosevelt,WB,EB,,06/13/2008,41.86715,-87.64691,"(41.86715, -87.64691)"
Harlem-Belmont,NB,WB,,06/17/2007,41.93799,-87.80674,"(41.93799, -87.80674)"
Sacramento-Chicago,NB,WB,,09/17/2009,41.89559,-87.70245,"(41.89559, -87.70245)"
Dr Martin Luther King-31st,NB,EB,,06/21/2008,41.8384,-87.6175,"(41.8384, -87.6175)"
Halsted-79th,SB,EB,,04/29/2008,41.7506,-87.644,"(41.7506, -87.644)"
Broadway-Sheridan-Devon,SB,EB,,10/17/2007,41.99819,-87.66054,"(41.99819, -87.66054)"
Western-Foster,SB,WB,,06/04/2007,41.97589,-87.68914,"(41.97589, -87.68914)"
Ashland-71st,NB,WB,,10/10/2004,41.76491,-87.66379,"(41.76491, -87.66379)"
Osceola-Touhy,EB,WB,,10/20/2008,42.01155,-87.81225,"(42.01155, -87.81225)"
Western-63rd,NB,EB,,11/11/2007,41.77921,-87.68363,"(41.77921, -87.68363)"
Sheridan-Foster,SB,WB,,01/25/2008,41.97639,-87.65499,"(41.97639, -87.65499)"
Clark-Fullerton,NB,SB,,06/26/2007,41.9256,-87.6405,"(41.9256, -87.6405)"
Ashland-87th,SB,WB,,03/30/2007,41.73578,-87.66306,"(41.73578, -87.66306)"
Wacker Rd-Lake St,NB,SB,,02/19/2018,41.8857,-87.637,"(41.8857, -87.637)"
Cicero-Washington,NB,SB,,06/13/2008,41.88181,-87.74533,"(41.88181, -87.74533)"
Pulaski-Lawrence,SB,EB,,07/30/2008,41.96824,-87.72802,"(41.96824, -87.72802)"
Central-Lake,SB,EB,,07/16/2009,41.88772,-87.76512,"(41.88772, -87.76512)"
Michigan-Jackson,NB,EB,,01/22/2018,41.8782,-87.6241,"(41.8782, -87.6241)"
Cicero-North,EB,WB,,05/30/2008,41.90962,-87.74611,"(41.90962, -87.74611)"
Elston-Lawrence,NB,WB,,06/07/2009,41.9681,-87.7402,"(41.9681, -87.7402)"
Pulaski-Armitage,WB,EB,,05/30/2008,41.91716,-87.72655,"(41.91716, -87.72655)"
Ashland-Lawrence,SB,EB,,08/26/2008,41.96887,-87.66944,"(41.96887, -87.66944)"
Western-Diversey-Elston,NB,WB,,07/17/2008,41.93217,-87.68788,"(41.93217, -87.68788)"
Damen-Elston,SB,,,02/17/2006,41.9258,-87.6779,"(41.9258, -87.6779)"
Ashland-Irving Park,NB,EB,,08/25/2008,41.95429,-87.66904,"(41.95429, -87.66904)"
Kostner-Roosevelt,EB,NB,,03/17/2004,41.86603,-87.73496,"(41.86603, -87.73496)"
State-75th,NB,WB,,08/27/2009,41.75818,-87.62475,"(41.75818, -87.62475)"
Cicero-Lawrence,NB,SB,,11/01/2004,41.96802,-87.74772,"(41.96802, -87.74772)"
Michigan-Ontario,SB,WB,,01/22/2018,41.8933,-87.624,"(41.8933, -87.624)"
Illinois-Columbus,NB,SB,,10/27/2010,41.891,-87.62022,"(41.891, -87.62022)"
Halsted-99th,NB,EB,,12/31/2005,41.71421,-87.643,"(41.71421, -87.643)"
Ashland-Cortland,NB,EB,,02/25/2006,41.91612,-87.6678,"(41.91612, -87.6678)"
Western-Chicago,NB,EB,,05/06/2007,41.89574,-87.68684,"(41.89574, -87.68684)"
Pulaski-Fullerton,WB,NB,,05/18/2007,41.92448,-87.72676,"(41.92448, -87.72676)"
Kedzie-26th,NB,SB,,11/01/2010,41.84451,-87.70504,"(41.84451, -87.70504)"
Kilpatrick-Irving Park,EB,WB,,10/20/2008,41.95344,-87.74557,"(41.95344, -87.74557)"
Austin-Diversey,WB,EB,,06/27/2008,41.93113,-87.77596,"(41.93113, -87.77596)"
Pulaski-79th,SB,WB,,09/16/2009,41.74956,-87.72191,"(41.74956, -87.72191)"
Nagle-Foster,WB,NB,,10/13/2004,41.97565,-87.78787,"(41.97565, -87.78787)"
California-Peterson,NB,EB,,06/28/2009,41.99044,-87.6994,"(41.99044, -87.6994)"
Clark-Irving Park,EB,NB,,07/21/2008,41.95437,-87.66224,"(41.95437, -87.66224)"
Pulaski-Division,NB,SB,,07/21/2009,41.90267,-87.7263,"(41.90267, -87.7263)"
Central-Diversey,SB,WB,,08/17/2009,41.93127,-87.76624,"(41.93127, -87.76624)"
Canal-Roosevelt,NB,WB,,11/29/2008,41.86725,-87.63921,"(41.86725, -87.63921)"
Halsted-Fullerton-Lincoln,NB,WB,,08/30/2008,41.92545,-87.64876,"(41.92545, -87.64876)"
Austin-Irving Park,NB,EB,,06/29/2008,41.95305,-87.77677,"(41.95305, -87.77677)"
Central-Addison,SB,EB,,11/14/2010,41.94587,-87.76675,"(41.94587, -87.76675)"
Central-Belmont,SB,WB,,02/04/2009,41.93857,-87.76649,"(41.93857, -87.76649)"
Milwaukee-Diversey,NB,EB,,06/28/2009,41.93198,-87.71225,"(41.93198, -87.71225)"
Kedzie-Armitage,SB,WB,,01/22/2009,41.9174,-87.70696,"(41.9174, -87.70696)"
Kedzie-31st,SB,WB,,05/22/2008,41.83723,-87.70482,"(41.83723, -87.70482)"
Austin-Addison,EB,NB,,06/27/2008,41.94577,-87.7765,"(41.94577, -87.7765)"
Cicero-47th,SB,WB,,03/30/2008,41.80762,-87.74315,"(41.80762, -87.74315)"
Kedzie-71st,SB,WB,,09/16/2009,41.76439,-87.70281,"(41.76439, -87.70281)"
Sacramento-Lake,NB,SB,,10/19/2009,41.88407,-87.70129,"(41.88407, -87.70129)"
Kostner-Grand-North,EB,NB,SB,03/10/2004,41.90975,-87.73626,"(41.90975, -87.73626)"
Halsted-North,NB,WB,,06/28/2009,41.91091,-87.64827,"(41.91091, -87.64827)"
Kedzie-79th-Columbus,SB,EB,,01/09/2006,41.7498,-87.7024,"(41.7498, -87.7024)"
Halsted-Madison,NB,SB,,06/13/2008,41.88177,-87.64736,"(41.88177, -87.64736)"
Central-Fullerton,SB,WB,,10/04/2007,41.92398,-87.76598,"(41.92398, -87.76598)"
Pulaski-55th,SB,WB,,11/18/2004,41.7932,-87.72316,"(41.7932, -87.72316)"
LaSalle-Kinzie,NB,EB,,04/29/2004,41.88918,-87.63252,"(41.88918, -87.63252)"
Ashland-95th,SB,EB,,06/25/2009,41.72121,-87.66268,"(41.72121, -87.66268)"
Central-Irving Park,SB,EB,,06/29/2008,41.95318,-87.76699,"(41.95318, -87.76699)"
California-Irving Park,WB,EB,,08/25/2008,41.95397,-87.69824,"(41.95397, -87.69824)"
Pulaski-Belmont,SB,EB,,05/18/2007,41.93909,-87.72718,"(41.93909, -87.72718)"
Kostner-Ogden,SB,EB,,05/22/2008,41.84769,-87.73438,"(41.84769, -87.73438)"
Western-Montrose,NB,WB,,08/25/2008,41.96131,-87.68868,"(41.96131, -87.68868)"
Damen-63rd,NB,SB,,05/30/2008,41.77931,-87.6739,"(41.77931, -87.6739)"
Cicero-Archer,NB,WB,,11/12/2007,41.79865,-87.74292,"(41.79865, -87.74292)"
Western-55th,SB,EB,,10/31/2003,41.79387,-87.68404,"(41.79387, -87.68404)"
Western-79th,NB,WB,,05/06/2007,41.7501,-87.68284,"(41.7501, -87.68284)"
Laramie-Irving Park,EB,WB,,01/26/2010,41.95329,-87.75714,"(41.95329, -87.75714)"
Elston-Irving Park,SB,EB,,08/11/2009,41.95373,-87.71908,"(41.95373, -87.71908)"
Ashland-Madison,NB,WB,,03/05/2004,41.8815,-87.6668,"(41.8815, -87.6668)"
Pulaski-63rd,SB,EB,,03/30/2007,41.77865,-87.72275,"(41.77865, -87.72275)"
Sheridan-Hollywood,WB,EB,,10/17/2007,41.98554,-87.65524,"(41.98554, -87.65524)"
Lake Shore SB ER-Belmont,SB,EB,,06/21/2008,41.94019,-87.6387,"(41.94019, -87.6387)"
California-Devon,NB,EB,,07/30/2008,41.99755,-87.69964,"(41.99755, -87.69964)"
Cicero-Harrison,SB,EB,,11/18/2009,41.87314,-87.745,"(41.87314, -87.745)"
Pulaski-North,NB,WB,,11/29/2008,41.90988,-87.72633,"(41.90988, -87.72633)"
Stony Island-76th,NB,SB,,11/29/2008,41.75694,-87.58609,"(41.75694, -87.58609)"
Stony Island-Cornell-67th,NB,NB,,11/25/2007,41.77333,-87.58629,"(41.77333, -87.58629)"
Western-Van Buren,WB,SB,,05/28/2008,41.87608,-87.68627,"(41.87608, -87.68627)"
Stony Island-79th-South Chicago,SB,WB,NB,05/06/2007,41.7515,-87.58582,"(41.7515, -87.58582)"
